"ident","type","name","latitude_deg","longitude_deg","iso_country"
"DNKN","large_airport","Mallam Aminu Kano International","12.045613","8.523566","NG"
"DNMA","large_airport","Maiduguri International","11.854163","13.080702","NG"
"DNMK","medium_airport","Makurdi","7.70388","8.61394","NG"
"DNMM","large_airport","Murtala Muhammed International","6.57737","3.32116","NG"
"DNMN","medium_airport","Minna","9.652170181","6.462259769","NG"
"DNPO","large_airport","Port Harcourt International","5.01549","6.94959","NG"
"DNSO","large_airport","Sadiq Abubakar III International","12.915729","5.207547","NG"
"DNSU","medium_airport","Warri","5.59821","5.8187","NG"
"DNYO","medium_airport","Yola","9.25755024","12.43039989","NG"
"DNZA","medium_airport","Zaria","11.1302","7.68581","NG"
"DRRM","medium_airport","Maradi","13.5025","7.12675","NE"
"DRRN","large_airport","Diori Hamani International","13.4815","2.18361","NE"
"DRRT","medium_airport","Tahoua","14.8757","5.26536","NE"
"DRZA","medium_airport","Mano Dayak International","16.966","8.00011","NE"
